VGS,V,A,InnerReactance,expo
0,5,2110,3.00E+05,-6
0,10,2145,3.00E+05,-6
0,0.5,1098,3.00E+05,-6
0,0.8,1375,3.00E+05,-6
0,1.2,1680,3.00E+05,-6
0,1.61,2010,3.00E+04,-6
0,2.1,2065,3.00E+04,-6
0,3,2095,1.00E+05,-6
0,8,2190,1.00E+05,-6
0.4,0.1,172,3.00E+04,-6
0.4,0.2,316,3.00E+04,-6
0.4,0.29,459,3.00E+04,-6
0.4,0.6,801,3.00E+04,-6
0.4,1,1045,3.00E+04,-6
0.4,1.5,1140,3.00E+04,-6
0.4,2.47,1203,3.00E+04,-6
0.4,6,1210,1.00E+05,-6
0.4,9,1251,1.00E+05,-6
0.4,4,1180,1.00E+05,-6
0.8,0.2,202,3.00E+04,-6
0.8,0.5,408,3.00E+04,-6
0.8,1.9,508,3.00E+04,-6
0.8,2.44,517,3.00E+04,-6
0.8,4.88,505,1.00E+05,-6
0.8,7.06,544,1.00E+05,-6
0.8,3.16,488,1.00E+05,-6
0.8,0.88,458,3.00E+04,-6
0.8,1.13,475,3.00E+04,-6
0.8,0.4,338,3.00E+04,-6
0.8,0.09,102,3.00E+04,-6
1.2,0.1,38.2,3.00E+04,-6
1.2,0.24,65.2,3.00E+04,-6
1.2,0.66,89,3.00E+04,-6
1.2,2.44,151,3.00E+04,-6
1.2,4.36,115,1.00E+05,-6
1.2,6.12,133,1.00E+05,-6
1.2,7.95,151,1.00E+05,-6
1.2,1,102,3.00E+04,-6
1.2,1.86,131,3.00E+04,-6